Date,Open,High,Low,Close*,Adj Close**,Volume
"Mar 10, 2024","3,913.72","3,965.47","3,881.90","3,909.83","3,909.83","14,192,871,424"
"Mar 09, 2024","3,892.12","3,950.40","3,880.66","3,915.42","3,915.42","11,926,623,780"
"Mar 08, 2024","3,874.83","3,998.83","3,828.36","3,892.06","3,892.06","26,135,487,051"
"Mar 07, 2024","3,818.31","3,939.59","3,738.69","3,874.35","3,874.35","22,457,177,587"
"Mar 06, 2024","3,554.07","3,901.43","3,502.80","3,819.23","3,819.23","34,938,642,613"
"Mar 05, 2024","3,631.93","3,828.16","3,224.12","3,554.96","3,554.96","47,706,899,137"
"Mar 04, 2024","3,489.34","3,641.46","3,446.02","3,630.43","3,630.43","26,772,963,830"
"Mar 03, 2024","3,422.88","3,491.17","3,372.21","3,490.99","3,490.99","13,643,324,467"
"Mar 02, 2024","3,436.16","3,459.75","3,398.90","3,422.05","3,422.05","12,024,340,617"
"Mar 01, 2024","3,341.97","3,452.63","3,341.85","3,435.05","3,435.05","16,880,101,987"
"Feb 29, 2024","3,386.80","3,518.97","3,303.91","3,341.92","3,341.92","28,469,171,094"
"Feb 28, 2024","3,243.89","3,485.45","3,201.58","3,385.70","3,385.70","32,885,894,265"
"Feb 27, 2024","3,178.41","3,287.96","3,167.83","3,244.52","3,244.52","21,090,315,368"
"Feb 26, 2024","3,112.53","3,197.38","3,037.95","3,178.99","3,178.99","17,504,464,351"
"Feb 25, 2024","2,992.37","3,117.43","2,984.39","3,112.70","3,112.70","14,620,450,464"
"Feb 24, 2024","2,921.96","3,003.20","2,907.70","2,992.39","2,992.39","10,701,688,842"
"Feb 23, 2024","2,970.14","2,991.33","2,906.58","2,921.66","2,921.66","12,822,717,059"
"Feb 22, 2024","2,969.60","3,030.67","2,907.11","2,971.01","2,971.01","18,058,908,246"
"Feb 21, 2024","3,015.65","3,017.19","2,875.42","2,970.36","2,970.36","18,897,136,867"
"Feb 20, 2024","2,944.11","3,031.52","2,879.90","3,013.50","3,013.50","20,341,598,470"
"Feb 19, 2024","2,881.30","2,983.37","2,860.26","2,943.57","2,943.57","15,163,110,589"
"Feb 18, 2024","2,786.71","2,892.84","2,767.91","2,879.00","2,879.00","23,355,830,478"
"Feb 17, 2024","2,803.74","2,805.13","2,724.39","2,786.67","2,786.67","17,932,379,943"
"Feb 16, 2024","2,825.48","2,858.45","2,760.33","2,803.69","2,803.69","17,057,114,638"
"Feb 15, 2024","2,777.60","2,865.85","2,764.01","2,824.38","2,824.38","23,734,481,937"
"Feb 14, 2024","2,641.69","2,786.89","2,621.03","2,777.90","2,777.90","21,448,973,822"
"Feb 13, 2024","2,659.59","2,686.46","2,599.17","2,642.19","2,642.19","18,271,237,044"
"Feb 12, 2024","2,507.58","2,663.84","2,473.81","2,658.12","2,658.12","13,022,696,866"
"Feb 11, 2024","2,501.13","2,537.68","2,495.21","2,507.57","2,507.57","7,347,245,813"
"Feb 10, 2024","2,487.65","2,516.72","2,475.86","2,501.23","2,501.23","6,474,444,159"
"Feb 09, 2024","2,419.77","2,522.72","2,419.36","2,487.52","2,487.52","13,634,203,177"
"Feb 08, 2024","2,424.08","2,459.56","2,414.75","2,419.91","2,419.91","9,941,841,732"
"Feb 07, 2024","2,372.26","2,442.64","2,353.71","2,423.75","2,423.75","9,660,628,536"
"Feb 06, 2024","2,298.96","2,389.83","2,296.79","2,372.20","2,372.20","9,520,885,493"
"Feb 05, 2024","2,289.21","2,334.68","2,270.07","2,298.89","2,298.89","7,277,068,110"
"Feb 04, 2024","2,296.12","2,309.01","2,272.30","2,289.55","2,289.55","5,438,100,035"
"Feb 03, 2024","2,307.98","2,327.35","2,293.54","2,296.04","2,296.04","4,647,754,021"
"Feb 02, 2024","2,303.71","2,323.05","2,282.23","2,308.04","2,308.04","7,186,143,091"
"Feb 01, 2024","2,282.18","2,309.84","2,243.57","2,303.82","2,303.82","8,895,583,113"
